The maximum sample data size is 2000000
         n	 repetitions	   sort(sec)
       100	          46	    0.000022
       200	          14	    0.000075
       300	           7	    0.000149
       400	           4	    0.000250
       500	           3	    0.000411
       600	           2	    0.000565
       700	           2	    0.000805
       800	           1	    0.001115
       900	           1	    0.001240
      1000	           1	    0.002100
      2000	           1	    0.006918
      3000	           1	    0.012774
      4000	           1	    0.022548
      5000	           1	    0.029509
      6000	           1	    0.042548
      7000	           1	    0.064426
      8000	           1	    0.073547
      9000	           1	    0.094511
     10000	           1	    0.120401
     20000	           1	    0.458985
     30000	           1	    1.044810
     40000	           1	    1.874141
     50000	           1	    2.900319
     60000	           1	    4.264307
     70000	           1	    5.996260
     80000	           1	    7.534871
     90000	           1	    9.823115
    100000	           1	   12.525801
    200000	           1	   50.425326
    300000	           1	  104.245006
    400000	           1	  185.637628
    500000	           1	  295.752603
    600000	           1	  430.654907
    700000	           1	  591.050561
    800000	           1	  777.330458
    900000	           1	  992.927230
   1000000	           1	 1228.238964
